Date,Open,High,Low,Close,Adj Close,Volume
2022/11/2,13.85,14.21,13.211,13.219,13.208053,672628000
2022/11/3,13.043,13.781,12.956,13.421,13.409885,500065000
2022/11/4,13.986,14.229,13.697,14.156,14.144277,612576000
2022/11/7,14.228,14.412,13.954,14.301,14.289157,410061000
2022/11/8,14.801,14.891,14.216,14.602,14.58991,595292000
2022/11/9,14.162,14.211,13.759,13.776,13.764593,454414000
2022/11/10,14.8,15.773,14.547,15.75,15.736958,700819000
2022/11/11,15.807,16.389,15.482,16.327,16.31348,655487000
2022/11/14,16.218,16.540001,15.922,16.295,16.281506,527852000
2022/11/15,16.722,16.997999,16.382,16.666,16.652197,545876000
2022/11/16,16.162001,16.362,15.873,15.91,15.896825,649547000
2022/11/17,15.715,16.266001,15.535,15.677,15.664017,710894000
2022/11/18,15.966,16.002001,15.12,15.409,15.39624,492072000
2022/11/21,15.147,15.477,15.08,15.317,15.304316,404739000
2022/11/22,15.328,16.058001,15.122,16.038,16.024715,472866000
2022/11/23,16.098,16.527,16.048,16.518999,16.505322,427241000
2022/11/25,16.318001,16.487,16.172001,16.27,16.256525,167934000
2022/11/28,16.025999,16.357,15.725,15.827,15.813893,303741000
2022/11/29,15.827,15.932,15.52,15.639,15.626048,298384000
2022/11/30,15.697,16.93,15.597,16.923,16.913311,565298000
2022/12/1,16.999001,17.264999,16.635,17.135,17.125193,470977000
2022/12/2,16.659,16.933001,16.445,16.875999,16.866337,371389000
2022/12/5,16.679001,16.995001,16.472,16.610001,16.600494,352255000
2022/12/6,16.530001,16.573,15.819,15.987,15.977848,352694000
2022/12/7,15.772,16.186001,15.667,16.120001,16.110773,372388000
2022/12/8,16.273001,17.179001,15.959,17.169001,17.159174,515456000
2022/12/9,17.16,17.583,16.975,17.000999,16.991268,465338000
2022/12/12,17.037001,17.538,16.797001,17.535,17.524961,457328000
2022/12/13,18.531,18.790001,17.711,18.072001,18.061655,656589000
2022/12/14,17.987,18.252001,17.42,17.674,17.663883,496888000
2022/12/15,17.146,17.32,16.700001,16.952,16.942295,478542000
2022/12/16,16.864,17.041,16.41,16.570999,16.561512,478232000
2022/12/19,16.572001,16.608999,16.145,16.254,16.244692,354039000
2022/12/20,16.063999,16.309999,15.852,16.084999,16.07579,403260000
2022/12/21,16.114,16.627001,16.101999,16.500999,16.49155,325025000
2022/12/22,16.094,16.138,14.882,15.339,15.330218,565045000
2022/12/23,15.196,15.339,14.883,15.206,15.197294,349326000
2022/12/27,15.074,15.1,14.056,14.121,14.112916,464902000
2022/12/28,13.927,14.262,13.884,14.036,14.027965,351066000
2022/12/29,14.402,14.683,14.227,14.603,14.594639,354923000
2022/12/30,14.334,14.629,14.233,14.614,14.605633,310490000
2023/1/3,14.851,14.996,14.096,14.315,14.306805,401277000
2023/1/4,14.567,14.853,14.241,14.749,14.740556,431324000
2023/1/5,14.491,14.564,14.148,14.265,14.256836,389168000
2023/1/6,14.474,15.01,14.034,14.859,14.850493,405044000
2023/1/9,15.284,16.056,15.141,15.628,15.619054,504231000
2023/1/10,15.507,15.962,15.472,15.909,15.899893,384101000
2023/1/11,15.84,16.028,15.563,16.000999,15.991839,353285000
2023/1/12,16.1,16.636999,15.492,16.511,16.501545,551409000
2023/1/13,16.278,16.922001,16.165001,16.899,16.889324,447287000
2023/1/17,16.899,17.728001,16.899,17.702,17.691864,511102000
2023/1/18,17.667,17.872999,17.282,17.377001,17.367052,439624000
2023/1/19,17.035999,17.197001,16.731001,16.764999,16.755404,452932000
2023/1/20,17.011,17.856001,16.825001,17.839001,17.828787,564967000
2023/1/23,18.063999,19.245001,17.818001,19.193001,19.182014,655163000
2023/1/24,18.827,19.495001,18.82,19.264999,19.253967,496204000
2023/1/25,18.913,19.370001,18.58,19.323,19.311937,449537000
2023/1/26,19.701,20.166,19.278,19.802,19.790663,489535000
2023/1/27,19.462,20.628,19.405001,20.365,20.353338,542142000
2023/1/30,19.950001,20.139999,19.15,19.162001,19.15103,488611000
2023/1/31,19.17,19.687,18.950001,19.537001,19.525816,498017000
2023/2/1,19.691,21.191999,19.611,20.943001,20.931011,660477000
2023/2/2,21,21.948999,20.700001,21.709,21.696569,564276000
2023/2/3,21,21.745001,20.789,21.1,21.087921,429366000
2023/2/6,20.806,21.57,20.785999,21.089001,21.076927,452197000
2023/2/7,21.382,22.259001,21.15,22.173,22.160303,664150000
2023/2/8,22.386999,22.878,22.007999,22.205,22.192289,559651000
2023/2/9,22.606001,23.02,22.120001,22.337,22.324211,523876000
2023/2/10,21.690001,22.077999,20.811001,21.264999,21.252825,550737000
2023/2/13,21.538,22.048,20.962,21.788,21.775526,474919000
2023/2/14,21.577999,23.049,21.365999,22.971001,22.95785,675474000
